Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Active_in_All_Areas,Goods_Services,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Red Velvet Pastry","Red Velvet Pastry",,50,,,,,"Pastry Cakes","Pastry Cakes",110,veg,No,services,1,10,Yes,,,,
"Choco Velvet Pastry","Choco Velvet Pastry",,51,,,,,"Pastry Cakes","Pastry Cakes",110,veg,No,services,1,10,Yes,,,,
"Biscoff Pastry","Biscoff Pastry",,52,,,,,"Pastry Cakes","Pastry Cakes",115,veg,No,services,1,10,Yes,,,,
"Belgian Truffle Pastry","Belgian Truffle Pastry",,53,,,,,"Pastry Cakes","Pastry Cakes",120,veg,No,services,1,10,Yes,,,,
"Rasmalai Pastry","Rasmalai Pastry",,54,,,,,"Pastry Cakes","Pastry Cakes",110,veg,No,services,1,10,Yes,,,,
"Honey Almond Pastry","Honey Almond Pastry",,55,,,,,"Pastry Cakes","Pastry Cakes",110,veg,No,services,1,10,Yes,,,,
"Mango Pastry","Mango Pastry",,57,,,,,"Pastry Cakes","Pastry Cakes",95,veg,No,services,1,10,Yes,,,,
"Opera Pastry","Opera Pastry","Indulge in layers of delicate almond sponge, rich coffee cream, and velvety chocolate, creating a harmonious symphony of flavors.",58,,,,,"Pastry Cakes","Pastry Cakes",140,veg,No,services,1,10,Yes,,,,
"Pista Kunafa Pastry","Pista Kunafa Pastry","Indulge in layers of flaky pastry filled with rich, nutty flavors and a sumptuous, savory filling that delights the palate.",59,,,,,"Pastry Cakes","Pastry Cakes",150,veg,No,services,1,10,Yes,,,,
"Hazelnut Pastry","Hazelnut Pastry","Indulge in a rich, buttery pastry filled with smooth hazelnut cream, offering a delightful crunch in every bite.",60,,,,,"Pastry Cakes","Pastry Cakes",150,veg,No,services,1,10,Yes,,,,
"Biscoff Kunafa Pastry","Biscoff Kunafa Pastry","Indulge in layers of crispy pastry, harmoniously paired with a rich, caramelized spread that creates a delightful sweet experience.",61,,,,,"Pastry Cakes","Pastry Cakes",150,veg,No,services,1,10,Yes,,,,
"Salted Caramel Chocolate","Salted Caramel Chocolate",,62,,,,,"Pastry Cakes","Pastry Cakes",250,veg,No,services,1,10,Yes,,,,
"Choco Panda","Choco Panda",,63,,,,,"Bento Box","Bento Box",250,veg,No,services,1,0,Yes,,,,
"Red Velvet","Red Velvet",,64,,,,,"Bento Box","Bento Box",250,veg,No,services,1,0,Yes,,,,
"Lotus Biscoff","Lotus Biscoff",,65,,,,,"Bento Box","Bento Box",280,veg,No,services,1,0,Yes,,,,
"Doraemon Cartoon","Doraemon Cartoon",,66,,,,,"Bento Box","Bento Box",280,veg,No,services,1,0,Yes,,,,
"Classic Rasmalai Tres Leches","Classic Rasmalai Tres Leches","Indulge in a luscious, creamy dessert that features soft, Cake soaked in sweet, fragrant milk, creating a heavenly taste experience.",67,,,,,Dessert,Dessert,140,veg,No,services,1,10,Yes,,,,
"Rose Tres Leches","Rose Tres Leches","Indulge in a luscious cake soaked in creamy, sweet milk, adorned with delicate rose flavors for a dreamy dessert experience.",68,,,,,Dessert,Dessert,150,veg,No,services,1,10,Yes,,,,
"Mango Tres Leches","Mango Tres Leches","Indulge in a heavenly treat of moist sponge soaked in a luscious blend of sweet cream and mango Flavour creating a tropical delight.",69,,,,,Dessert,Dessert,150,veg,No,services,1,10,Yes,,,,
"Vanilla Berliner","Vanilla Berliner","Indulge in a soft, pillowy delight filled with luscious vanilla cream, offering a perfect sweetness in every bite.",70,,,,,Dessert,Dessert,80,veg,No,services,1,5,Yes,,,,
"Choco Cookie Berliner","Choco Cookie Berliner",,71,,,,,Dessert,Dessert,100,veg,No,services,1,10,Yes,,,,
"Red Velvet Cookie Berliner","Red Velvet Cookie Berliner",,72,,,,,Dessert,Dessert,100,veg,No,services,1,10,Yes,,,,
"Blueberry Berliner","Blueberry Berliner",,73,,,,,Dessert,Dessert,100,veg,No,services,1,10,Yes,,,,
"Mango Berliner","Mango Berliner",,74,,,,,Dessert,Dessert,100,veg,No,services,1,10,Yes,,,,
"Walnut Brownie","Walnut Brownie","Indulge in a rich, fudgy delight infused with the earthy crunch of walnuts, creating a heavenly dessert experience.",75,,,,,Dessert,Dessert,120,veg,No,services,1,10,Yes,,,,
